# Athena++ history data
# [1]=time     [2]=dt       [3]=mass     [4]=1-mom    [5]=2-mom    [6]=3-mom    [7]=1-KE     [8]=2-KE     [9]=3-KE     [10]=tot-E   
  3.60003e+01  6.73043e-04  5.16009e-01  6.55432e-03  6.01398e-01  0.00000e+00  2.58368e-02  4.45693e-01  0.00000e+00  6.19372e-01
  3.65000e+01  7.31038e-04  5.03435e-01  3.62188e-02  5.69007e-01  0.00000e+00  1.10709e-02  4.02068e-01  0.00000e+00  5.64755e-01
  3.70005e+01  7.00640e-04  4.84618e-01  1.78118e-02  5.75434e-01  0.00000e+00  2.70999e-02  4.39906e-01  0.00000e+00  6.10990e-01
  3.75006e+01  7.21953e-04  4.71190e-01  2.94460e-02  5.36517e-01  0.00000e+00  1.19138e-02  3.86217e-01  0.00000e+00  5.43351e-01
  3.80003e+01  7.10407e-04  4.49598e-01  3.82447e-02  5.33775e-01  0.00000e+00  2.14211e-02  4.10142e-01  0.00000e+00  5.73876e-01
  3.85001e+01  7.07899e-04  4.33324e-01  2.04258e-02  5.04745e-01  0.00000e+00  1.94488e-02  3.78246e-01  0.00000e+00  5.36319e-01
  3.90002e+01  7.09553e-04  4.10261e-01  3.58140e-02  4.71558e-01  0.00000e+00  1.24959e-02  3.48856e-01  0.00000e+00  4.96353e-01
  3.95002e+01  7.26737e-04  3.88657e-01  3.56217e-02  4.62687e-01  0.00000e+00  1.67038e-02  3.64919e-01  0.00000e+00  5.13539e-01
  4.00006e+01  6.97013e-04  3.65373e-01  2.34690e-02  4.31595e-01  0.00000e+00  1.72725e-02  3.37956e-01  0.00000e+00  4.80246e-01
  4.05007e+01  7.20566e-04  3.41978e-01  2.08226e-02  3.92524e-01  0.00000e+00  1.02036e-02  2.96574e-01  0.00000e+00  4.23408e-01
  4.10007e+01  7.15909e-04  3.21739e-01  2.98986e-02  3.68354e-01  0.00000e+00  7.57503e-03  2.79148e-01  0.00000e+00  3.99145e-01
  4.15002e+01  7.16641e-04  2.99060e-01  2.81152e-02  3.40001e-01  0.00000e+00  9.25207e-03  2.60116e-01  0.00000e+00  3.72138e-01
